date,label,greeting,active
2026-02-16,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2026-02-17,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2026-02-18,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2026-02-19,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2026-02-20,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2026-04-03,Good Friday,Good Friday,TRUE
2026-04-20,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2026-04-21,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2026-04-22,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2026-04-23,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2026-04-24,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2026-05-25,Memorial Day,Remembering Memorial Day,TRUE
2026-06-19,Juneteenth,Happy Juneteenth,TRUE
2026-09-07,Labor Day,Happy Labor Day,TRUE
2026-09-21,Yom Kippur,Have an easy fast,TRUE
2026-10-12,Indigenous People's Day,Indigenous People's Day,TRUE
2026-11-11,Veterans Day,Honoring Veterans Day,TRUE
2026-11-26,Thanksgiving,Happy Thanksgiving,TRUE
2026-11-27,Day after Thanksgiving,Happy Thanksgiving weekend,TRUE
2026-12-24,Christmas Eve,Merry Christmas Eve,TRUE
2026-12-25,Christmas,Merry Christmas,TRUE
2026-12-26,Winter break,Enjoy winter break,TRUE
2026-12-27,Winter break,Enjoy winter break,TRUE
2026-12-28,Winter break,Enjoy winter break,TRUE
2026-12-29,Winter break,Enjoy winter break,TRUE
2026-12-30,Winter break,Enjoy winter break,TRUE
2026-12-31,Winter break,Enjoy winter break,TRUE
2027-01-01,New Year's Day,Happy New Year,TRUE
2027-02-15,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2027-02-16,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2027-02-17,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2027-02-18,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2027-02-19,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2027-03-26,Good Friday,Good Friday,TRUE
2027-04-19,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2027-04-20,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2027-04-21,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2027-04-22,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2027-04-23,Patriots' Day week,Enjoy Patriots' Day week,TRUE
2027-05-31,Memorial Day,Remembering Memorial Day,TRUE
2027-06-19,Juneteenth,Happy Juneteenth,TRUE
2027-09-06,Labor Day,Happy Labor Day,TRUE
2027-10-11,Indigenous People's Day / Yom Kippur,Indigenous People's Day - Have an easy fast,TRUE
2027-11-11,Veterans Day,Honoring Veterans Day,TRUE
2027-11-25,Thanksgiving,Happy Thanksgiving,TRUE
2027-11-26,Day after Thanksgiving,Happy Thanksgiving weekend,TRUE
2027-12-24,Christmas Eve,Merry Christmas Eve,TRUE
2027-12-25,Christmas,Merry Christmas,TRUE
2027-12-26,Winter break,Enjoy winter break,TRUE
2027-12-27,Winter break,Enjoy winter break,TRUE
2027-12-28,Winter break,Enjoy winter break,TRUE
2027-12-29,Winter break,Enjoy winter break,TRUE
2027-12-30,Winter break,Enjoy winter break,TRUE
2027-12-31,Winter break,Enjoy winter break,TRUE
2028-01-01,New Year's Day,Happy New Year,TRUE
2028-02-21,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2028-02-22,Presidents' Day week,Enjoy Presidents' Day week,TRUE
2028-02-23,Presidents' Day week,Enjoy Presidents' Day week,TRUE
